# timestamp tx ty tz qx qy qz qw
1766069974.167200089 0.072576528 0.018936068 -0.035600911 0.554341721 -0.543379992 0.441997723 0.449534708
1766069974.267600060 0.072535646 0.018050144 -0.035565046 0.549683853 -0.537640600 0.449701676 0.454487238
1766069974.364000082 0.072009088 0.013797711 -0.035847121 0.545116341 -0.531241894 0.459940019 0.457258574
1766069974.467499971 0.072159350 0.001592909 -0.035261754 0.539895649 -0.529611532 0.465631239 0.459577918
1766069974.563800097 0.073555553 -0.017641985 -0.031484595 0.534371220 -0.528395893 0.470630883 0.462332944
1766069974.666699886 0.075727319 -0.043311710 -0.021288483 0.528385672 -0.529489324 0.474781723 0.463715379
1766069974.767299891 0.077936652 -0.073638690 -0.002599015 0.525943884 -0.533939876 0.476027437 0.460096857
1766069974.863300085 0.079846820 -0.106484509 0.023014139 0.524707664 -0.539225003 0.476405326 0.454924422
1766069974.967600107 0.081109760 -0.140221038 0.055129076 0.523837746 -0.543867342 0.476271723 0.450519230
1766069975.067500114 0.081740256 -0.176313104 0.090610778 0.526068555 -0.547135172 0.473851207 0.446497494
1766069975.164000034 0.082293588 -0.213957972 0.128418034 0.530674649 -0.544600491 0.470049307 0.448161100
1766069975.269099951 0.082666430 -0.253128295 0.167932544 0.537367870 -0.537459023 0.465609522 0.453410789
1766069975.368099928 0.082971504 -0.290635993 0.210175311 0.553273835 -0.519870249 0.465527934 0.454870015
1766069975.468199968 0.086948830 -0.327108033 0.253524952 0.572567341 -0.499061508 0.463179951 0.456693097
1766069975.564399958 0.099018753 -0.364020324 0.298232296 0.587636941 -0.481245650 0.452526658 0.467231285
1766069975.668900013 0.118015634 -0.397846143 0.344097525 0.602250537 -0.458007283 0.444720672 0.479319459
1766069975.765000105 0.145788676 -0.429044947 0.392401973 0.617909839 -0.436186207 0.432726292 0.490588402
1766069975.868000031 0.183182276 -0.457862736 0.442510802 0.638545375 -0.412259395 0.417346655 0.498120231
1766069975.964200020 0.231383695 -0.482879013 0.494087227 0.659969445 -0.386184152 0.398815982 0.506209388
1766069976.064300060 0.290940663 -0.505475996 0.544171248 0.677337805 -0.361296999 0.377535706 0.517826967
1766069976.164799929 0.360365502 -0.524827627 0.592068672 0.692332087 -0.334426760 0.358738283 0.529284299
1766069976.271199942 0.440110058 -0.540827857 0.637982716 0.706724205 -0.308417270 0.342888936 0.536513619
1766069976.369100094 0.531807219 -0.553746177 0.680762312 0.719964236 -0.283734718 0.327227168 0.542280822
1766069976.468499899 0.635525615 -0.564696326 0.719207769 0.731146235 -0.260193452 0.311114161 0.548573176
1766069976.568500042 0.749843795 -0.571547264 0.754035709 -0.743676328 0.237155101 -0.294666414 -0.551248294
1766069976.668499947 0.875582497 -0.573706037 0.782898989 -0.755201354 0.213344546 -0.277700874 -0.554109415
1766069976.769500017 1.012135109 -0.571159194 0.803993925 -0.765592816 0.187345413 -0.259855722 -0.557892767
1766069976.868700027 1.160846671 -0.564328153 0.818108929 -0.774767700 0.163197638 -0.238483800 -0.562340660
1766069976.968499899 1.319365771 -0.556290532 0.823008866 -0.782472481 0.138255930 -0.214679808 -0.567921381
1766069977.064599991 1.486928832 -0.547238889 0.817333427 -0.787382383 0.114708804 -0.188673768 -0.575563274
1766069977.167299986 1.661461332 -0.536692935 0.802203430 -0.791500035 0.090093390 -0.162750342 -0.582171111
1766069977.268100023 1.840206957 -0.523286735 0.778680693 -0.796829186 0.061411471 -0.136779694 -0.585306070
1766069977.365000010 2.023020039 -0.507513469 0.747064879 -0.801019751 0.033726237 -0.111606952 -0.587174410
1766069977.465300083 2.208866419 -0.490664274 0.705398463 -0.801686112 0.009437495 -0.089827466 -0.590881830
1766069977.563499928 2.398927530 -0.473067147 0.655560313 -0.799893505 -0.011941270 -0.068759733 -0.596070370
1766069977.666500092 2.590453323 -0.455120825 0.599542573 -0.799583288 -0.030684495 -0.046789189 -0.597942973
1766069977.769299984 2.781104663 -0.436193097 0.538765836 -0.798491536 -0.047306791 -0.029624428 -0.599412819
1766069977.863500118 2.971798156 -0.415200721 0.471473412 -0.798121532 -0.061378295 -0.014360902 -0.599189861
1766069977.962800026 3.161730792 -0.391961018 0.396991450 -0.797801740 -0.075327651 -0.001264569 -0.598194392
1766069978.062599897 3.349847033 -0.365928020 0.316682496 -0.796648445 -0.086992743 0.007291179 -0.598105640
1766069978.162899971 3.538708900 -0.337450330 0.230944261 -0.794776606 -0.091652800 0.009988880 -0.599858428
1766069978.266099930 3.727109811 -0.306379498 0.139445575 -0.793019125 -0.091723758 0.010988342 -0.602151705
1766069978.367700100 3.916028861 -0.275515722 0.042811553 -0.788314247 -0.087026004 0.012150982 -0.608965908
